127.0.0.1 - - [19/Sep/2016:21:37:18 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/ HTTP/1.1" 200 53837
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/resources/css/menu.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/resources/css/coreSlider.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/resources/css/font-awesome.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/resources/css/flexslider.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/resources/css/jquery-ui.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:22 +0530] "GET /shoppingcartfront/resources/css/bootstrap.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 127046
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/css/carousel.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/js/jquery.min.js;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/js/responsiveslides.min.js;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/js/main.js;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/css/owl.carousel.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 8221
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/css/jstarbox.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/js/jstarbox.js;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/js/bootstrap-3.1.1.min.js;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/js/simpleCart.min.js;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 25764
0:0:0:0:0:0:0:1 - - [19/Sep/2016:21:37:23 +0530] "GET /shoppingcartfront/resources/css/style.css;jsessionid=662A8D34C6045F2D605F4C9F56052C2A HTTP/1.1" 200 64888
