127.0.0.1 - - [19/Oct/2016:11:34:34 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/ HTTP/1.1" 200 32695
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/carousel.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/menu.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/coreSlider.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/owl.carousel.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 8221
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/font-awesome.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/jquery-ui.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/flexslider.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/bootstrap.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 127046
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/jstarbox.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/css/style.css;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 64888
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/l3.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 23963
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/l1.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 24465
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/bag.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/l4.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 29507
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p2.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 22071
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/l5.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 21311
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p1.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 42676
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/card.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/b1.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 133632
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/bootstrap-3.1.1.min.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/coreSlider.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 13443
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p7.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 8807
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p12.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p10.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 6126
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/jquery.min.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/main.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/responsiveslides.min.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/jstarbox.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/js/simpleCart.min.js;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 25764
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/l6.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 24284
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/l2.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 34631
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/b2.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 148964
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p4.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 12339
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/b3.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 121725
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/p5.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 9361
0:0:0:0:0:0:0:1 - - [19/Oct/2016:11:34:37 +0530] "GET /shoppingcartfront/resources/images/ban1.png/;jsessionid=80B92532BEE522372FFFBAAAA3D76A40 HTTP/1.1" 200 44906
