127.0.0.1 - - [11/Oct/2016:09:08:39 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/images/p1.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 42676
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/images/b2.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 148964
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/css/jstarbox.css;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/css/font-awesome.css;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/css/style.css;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 64888
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/images/p14.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 6293
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/images/l4.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 29507
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:42 +0530] "GET /shoppingcartfront/resources/images/p24.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 12044
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/p13.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/l5.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 21311
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/s2.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/s1.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 8652
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/p17.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 8268
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/p30.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/p26.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 8952
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/p21.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 13866
0:0:0:0:0:0:0:1 - - [11/Oct/2016:09:08:43 +0530] "GET /shoppingcartfront/resources/images/p15.png/;jsessionid=1398AC5BAC11277602DDF958E7077F0A HTTP/1.1" 200 9154
