127.0.0.1 - - [09/Sep/2016:12:32:43 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:47 +0530] "GET /shoppingcartfront/resources/images/p6.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:47 +0530] "GET /shoppingcartfront/resources/images/p4.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 12339
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:47 +0530] "GET /shoppingcartfront/resources/images/p2.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 22071
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:47 +0530] "GET /shoppingcartfront/resources/images/p8.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8227
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/ban1.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 44906
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p14.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 6293
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p10.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 6126
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p12.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p11.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 7646
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p13.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p9.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 11416
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p15.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 9154
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p20.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p19.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8730
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p18.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p21.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 13866
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p16.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 7694
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p26.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8952
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p23.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 12536
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p24.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 12044
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p17.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8268
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p22.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 14354
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p25.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 10256
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/l2.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 34631
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/l1.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 24465
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/l5.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 21311
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/l3.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 23963
